VerbatimTweet	CleanedTweet	Predicted	Actual
We're going to get City in the next round for a revenge.	going get city next round revenge.	0.56936234	0.438
Me: *sees incense burner* is this for drugs?	me: sees incense burner drugs ?	0.32931337	0.354
@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?	hey stupid bad intel take bin laden out. try faux outrage. bet u admire putin right ?	0.61844623	0.688
@RobertB_Rice Awesome. Another non-native being offended on my behalf. We need more of you in the world. #SaidNoNDNEver. #Paternalism	awesome. another non-native offended behalf. need world. saidnondnever. paternalism	0.6054824	0.417
@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.	secret: personal dislike trump & animosity always present..now magnified bigotry/racism etc.	0.3848892	0.653
So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.	turn. soon says hi burst tears lmaoo overwhelmed.	0.33525267	0.354
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees	cmode grimrail made want eat angry bees	0.56320554	0.667
And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose.	getting offended furious writers style isn;t taste ultimately daft suppose.	0.50697964	0.625
When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife	u strong u offend weak & insecure. stay strong. joshua 1:6-9 god internationaldayofpeace actorslife	0.45545736	0.312
@o2academybham since when the fuck can you not stand at a concert? #raging	since fuck stand concert ? raging	0.5207122	0.771
@o2academybham since when the fuck can you not stand at a concert? 	since fuck stand concert ?	0.40222812	0.75
My irritation level is at an all time high today ðŸ™ƒ	irritation level time high today ðÿ™ƒ	0.39925984	0.75
@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks	blacks good provoke selfs blaming white black cops shooting blacks	0.7092578	0.625
@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity	lmao ! imagine frown across face yours. hilarity	0.33642977	0.271
#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!	adp ezlabor web portal slowest web app ever displeasure using ! !	0.4633936	0.729
We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews	raging angry.=1/2 bil $ 2 pro liars.actors useless people america working 100 x harder ?	0.58155626	0.667
@DatGuydARK I wouldn't fret. There's too many opportunities in life to worry about one not working out.	would fret. many opportunities life worry one working out.	0.38139668	0.354
@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim	force neighbours pay ! people nerve ! ! ! outrage victim	0.6840193	0.833
@clppng #offended the tonys have found a way to leave me out and now y'all have too	offended tonys found way leave y'all	0.466709	0.542
Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife	tip everyone: stop offended. end. quit youredumb liveyourownlife	0.6211203	0.604
Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife	tip everyone: stop offended. end. offended quit youredumb liveyourownlife	0.6205914	0.479
These NA kids are relentless	na kids relentless	0.34013978	0.458
Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part	finally uploaded file needed university server drop box. took like half hour lot cursing anger part	0.58370584	0.521
@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.	'just getting lost ! want see eyes !' hungary huffed crossed arms looking away angrily.	0.44500646	0.562
Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.	pro tip: go back work kid reaches 20 mos old. stay home longer absolutely miserable tantrums.	0.5366847	0.542
Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .	pro tip: go back work kid reaches 20 mos old. stay home longer absolutely miserable .	0.45650345	0.396
Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ #sting	burns pick pitches get like ðÿ˜¢ðÿ˜¢ sting	0.45636094	0.542
Me and these burns that I pick up off the pitches don't get on at all like ðŸ˜¢ðŸ˜¢ 	burns pick pitches get like ðÿ˜¢ðÿ˜¢	0.37476113	0.438
Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist	imagine bitter bias dating & sending threats partner. like ? nasty. even know exist	0.48370957	0.604
Every dancers dream song #snap #worldpower	every dancers dream song snap worldpower	0.15577057	0.188
Every dancers dream song  #worldpower	every dancers dream song worldpower	0.18552193	0.146
@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.	2. n-word. think afr-am entitled it: take away insult claimed back.	0.53453696	0.583
Having one of those #angry days. I will have to stop watching #news.	one angry days. stop watching news.	0.5444722	0.625
@laureeenwillam can't cope wi her sour face and tiny pout ðŸ˜¡ðŸ˜¡	ca cope wi sour face tiny pout ðÿ˜¡ðÿ˜¡	0.5179673	0.479
Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh	karev better ! ! ! seriously done done angry unfair ugh	0.5653379	0.676
@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite	poor = angry justly so. offer people hope ! god anyone see ? ! education elite	0.67434007	0.75
Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha	howard webb always held knowing answers. red. sutton craigan raging ! hahaha	0.5779366	0.458
ICQ is just making me mad!!!ðŸ˜¤ #icq #angry	icq making mad ! ! !ðÿ˜¤ icq angry	0.6697617	0.75
ICQ is just making me mad!!!ðŸ˜¤ #icq 	icq making mad ! ! !ðÿ˜¤ icq	0.48636162	0.729
Ppl like that irritate my soul	ppl like irritate soul	0.47285807	0.458
Why is it always me picking up the pieces :/ #angry	always picking pieces :/ angry	0.5074971	0.812
Why is it always me picking up the pieces :/ 	always picking pieces :/	0.1210605	0.458
I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.	learned let go resentment people hurt keeping like swallowing poison expecting die.	0.52195096	0.458
Pride and Prejudice is a modern day Keeping up with the Kardashians' - @howsyourdaybin .............I've never been so offended in my life	pride prejudice modern day keeping kardashians' - .............i never offended life	0.45811906	0.685
The outrage over Kessel's tweet by butthurt USA players is hilarious.	outrage kessel tweet butthurt usa players hilarious.	0.4438702	0.354
@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming	came silly o'clock woke happened wasted fuming	0.6002591	0.771
@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted 	came silly o'clock woke happened wasted	0.44490466	0.625
@missblair140 AWH tiff you're such a great friend I love you :(( thank you	awh tiff great friend love : thank	0.31389853	0.167
Oh man it's been so long since I've played #madden I am trash anymore.	oh man long since played madden trash anymore.	0.4121292	0.354
I only have to wave a fiery cross and we will f**kin' do this!	wave fiery cross fkin' !	0.39559942	0.667
Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere	thou wilt valiant wrathful dove magnanimous mouse. william shakesphere	0.31229642	0.464
@SwiftShimada SPARKLES, proud little huff. Still posing mind you.	sparkles proud little huff. still posing mind you.	0.36361548	0.417
No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.	nipples offend lol. sad see women purposely flaunting/sexualizing bodies immodest way.	0.5149056	0.521
@thehill no wonder USA is going to shit with such outrage over a simple analogy.	wonder usa going shit outrage simple analogy.	0.60998863	0.542
@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...	guys use type language. save raging...	0.4350757	0.458
@Remedy0_ switch host no bullet rage.	switch host bullet rage.	0.54502	0.396
Thurston offers Gallen a â€˜peaceâ€™ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...	thurston offers gallen â€˜peaceâ€™ mind: north queensland playmaker johnathon thurston insists holds grudge paul g...	0.537223	0.312
My back is starting to irritate me and it's barely 2:19 ðŸ˜“	back starting irritate barely 2:19 ðÿ˜“	0.5067431	0.417
Manchester derby at home #revenge	manchester derby home revenge	0.49691746	0.211
Manchester derby at home 	manchester derby home	0.45423725	0.188
Defination of a best friends..!!! \n\na person who opens his mouth just to #insult yu..!! :D :D :D	defination best friends.. ! ! ! person opens mouth insult yu.. ! ! :d :d :d	0.41996825	0.386
Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....	nothing entertaining frightening bitter alcoholic trying desperately get attention.....	0.46698692	0.479
What a fucking muppet.  @jRwild1 #fuming #stalker.	fucking muppet. fuming stalker.	0.787797	0.792
What a fucking muppet.  @jRwild1  #stalker.	fucking muppet. stalker.	0.48679978	0.792
@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). #umbrage	two ten times interesting particular afternoon goofballs could say worse. umbrage	0.5241651	0.438
@TedLeitner @jesseagler You two are TEN TIMES more interesting than those particular afternoon goofballs (I could say worse). 	two ten times interesting particular afternoon goofballs could say worse.	0.46484038	0.255
some of the casuals tweets that Vic has faved are making me gag #bitter	casuals tweets vic faved making gag bitter	0.56505877	0.667
some of the casuals tweets that Vic has faved are making me gag 	casuals tweets vic faved making gag	0.47903603	0.646
@loueezecee I don't know how much more of that bloody pout I can take!!	know much bloody pout take ! !	0.51557344	0.625
Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n #NoteToSelf  #mad #upset	note self ~ stop laughing things offend ok get mad people notetoself mad upset	0.5889349	0.417
@KatherineArabis Itâ€™s taken for granted, while the misogyny in the air is treated as normal â€” and any angry response to it as pathological.	itâ€™s taken granted misogyny air treated normal â€” angry response pathological.	0.61303747	0.438
@smendler (1) Watch out for memes &amp; statements designed to make you feel outrage, but that don't give you anything to *do* about situation	1 watch memes & statements designed make feel outrage give anything situation	0.46683022	0.542
Do not be angry with God because you do not get what you want, for God gives most when you expect least.	angry god get want god gives expect least.	0.5422443	0.289
@downeysduckling nick fury	nick fury	0.37868765	0.438
@Susan_Wilde @oohincensed @TheCanarySays no! Kinda offended that you had to ask	! kinda offended ask	0.51696086	0.458
Yeah I'm hot nigga, they say im burning uhhhhh	yeah hot nigga say im burning uhhhhh	0.39887172	0.509
@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.	haha ! well today. ca get beyond pout annoying afraid.	0.6046562	0.458
Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock  #cum #swallow	yo gurls dm tribute ðÿ˜œðÿ’¦ snapme dm nudes tribute cumtribute cock cum swallow	0.4359123	0.479
Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow	yo gurls dm tribute ðÿ˜œðÿ’¦ snapme dm nudes tribute cumtribute cock snap cum swallow	0.39200595	0.271
@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.)	maybe provoke future want run risk punching board.	0.45779482	0.542
@Digger_forum he's also mostly (except for the synthetic testosterone bits) male, you raging sexist!	also mostly except synthetic testosterone bits male raging sexist !	0.50522655	0.646
@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.	looks like rabid pack inbreds.	0.47781733	0.562
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! #rage	need today ! u know many fuckin french plaits morn stroppy 9 yr old ! rage	0.4728202	0.896
@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! 	need today ! u know many fuckin french plaits morn stroppy 9 yr old !	0.46593952	0.729
2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying #irritation #weirdsmells	2 biggest fears: incurable std pregnancy...i mean basically thing anyway forlife annoying irritation weirdsmells	0.6573167	0.583
2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells	2 biggest fears: incurable std pregnancy...i mean basically thing anyway forlife annoying weirdsmells	0.6627784	0.417
#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout	charlotteriots passion ? anger act violence. mourning past away stayhome whyout	0.470418	0.562
resentment is rlly my shit.	resentment rlly shit.	0.62044233	0.562
i resent being tired and annoyed that the word Wiener is splashed across the news. this should be a slam-dunk for me	resent tired annoyed word wiener splashed across news. slam-dunk	0.5233319	0.542
@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended	wow realized much sexist pig ! truly sorry anyone offended	0.5935819	0.405
@tony_tr3 I'd say your outrage is the really FAUX outrage.	would say outrage really faux outrage.	0.5591783	0.479
I can already tell this programme is going to infuriate me #ExtremeWorld	already tell programme going infuriate extremeworld	0.52578753	0.75
Height of irritation when a person makes a hilarious chusssss.... Plz die....ðŸ˜¬ðŸ˜¬	height irritation person makes hilarious chusssss.... plz die....ðÿ˜¬ðÿ˜¬	0.4160185	0.708
13 hour @bus rides make me #angry #sorry	13 hour rides make angry sorry	0.5779687	0.688
13 hour @bus rides make me  #sorry	13 hour rides make sorry	0.42493185	0.271
jelly baby is my favourite insult	jelly baby favourite insult	0.3991496	0.396
She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++	began squirm beneath struggling get relentless grasp. realized attempt useless++	0.514748	0.438
@LoyalLadyMalfoy &lt;â€¢ change them himself. He follows behind with a scowl pinching his lips and takes the sheets to his room. 'So who is â€¢&gt;	<â€¢ change himself. follows behind scowl pinching lips takes sheets room. 'so â€¢>	0.3800322	0.361
Forever raging ðŸ˜ðŸ˜‚ðŸ˜­	forever raging ðÿ˜ðÿ˜‚ðÿ˜­	0.54068273	0.688
@rawhidevelvet No offense, but isn't it a little late to be getting a radio broadcast degree? Isn't that going to be over in a decade or 2?	offense little late getting radio broadcast degree ? going decade 2 ?	0.42017436	0.325
@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and	wow right need helpso getting laureliver fandom bitter comic fandom	0.4619262	0.479
@broadly you should be criminalized for posting a pic of that brown frown.... Get a pic of some jack, or cookies, or diesel, Join up @CNN_Ai	criminalized posting pic brown frown.... get pic jack cookies diesel join	0.4609495	0.562
@alliex both, scrap *ll the rage instead	scrap rage instead	0.715081	0.583
The ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me	ppl defending cops continue kill innocent ppl ppl innocent clearly cooperate irritate tf outta	0.6733041	0.75
Living life so relentless	living life relentless	0.3567078	0.417
You forever straight so fix that frown u goodðŸ˜‡ @amayyaaag__	forever straight fix frown u goodðÿ˜‡	0.3561621	0.458
smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.	smh customers getting angry bc aint got marlboro lights gas hut. called 2 hours ago fuck you.	0.6216304	0.729
@alexis_maxwell #bitter hahaha just kidding. its crazy tho	bitter hahaha kidding. crazy tho	0.35598123	0.417
A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.	28 yr old man threw saucepan boiling water garda & hit garda shaft brush...letterkenny district court.	0.53719306	0.406
Way towards be prominent if your exasperate is peaked?: TGMbNqUEe	way towards prominent exasperate peaked ?: tgmbnquee	0.41396004	0.375
Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming	abroad causing make spontaneous decisions worry things good type part fuming	0.45211744	0.521
@Thatguy_dree @RecklessWonder_ neither one of y'all can see me in this madden	neither one y'all see madden	0.3560436	0.375
@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad	summar one insult gone idc dad	0.46060345	0.667
@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either #outrage	ended paying 75p half tube smarties. even get pleasure popping plastic lid either outrage	0.5487278	0.583
@russbully Ended up paying 75p for half a tube of smarties. Don't even get the pleasure of popping the plastic lid off either 	ended paying 75p half tube smarties. even get pleasure popping plastic lid either	0.47411558	0.396
Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.	everything see american police training seems calculated trample human dignity inflame outrage escalate confrontations.	0.68941504	0.604
@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.	ceremony next time meet. involve burning something possibly booze and/or caffeine.	0.39664435	0.396
#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. ðŸ‘‹ #fuming	gbbo homely pure piece tv gold. channel 4 attempt tart up. mary sue mel gone. over. out. ðÿ‘‹ fuming	0.5223698	0.625
#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. ðŸ‘‹ 	gbbo homely pure piece tv gold. channel 4 attempt tart up. mary sue mel gone. over. out. ðÿ‘‹	0.41624743	0.396
Constantly fucking boiling and it's not ok	constantly fucking boiling ok	0.66521543	0.771
@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. #indignation	guess. heartbreaking ease kill innocent man get away it. indignation	0.57385814	0.625
@mikeburke91 @AP I guess. It's just heartbreaking the ease with which they can kill an innocent man and get away with it. 	guess. heartbreaking ease kill innocent man get away it.	0.5299393	0.438
In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.	fact sometimes get furious people wrong get furious fool.	0.608922	0.5
All options are on the table - #revenge is coming.	options table - revenge coming.	0.47015774	0.458
Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz 	argh big wasp buzzing blinds window. halp ! wasp evil buzz	0.29441246	0.542
Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz #sting	argh big wasp buzzing blinds window. halp ! wasp evil buzz sting	0.34955713	0.417
Someone throw a snap dance party for LO. Rest Up big Homie ðŸ™ðŸ¾	someone throw snap dance party lo. rest big homie ðÿ™ðÿ¾	0.3981878	0.375
If angry, bash out your frustration on the pastry #GBBO	angry bash frustration pastry gbbo	0.5536808	0.53
So excited to watch @RuPaulsDragRace #allstars \n#RuPaul #revenge	excited watch allstars rupaul revenge	0.52909386	0.167
and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers	strike upon thee great vengeance furious anger attempt poison destroy brothers	0.6703965	0.688
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts ðŸ˜‚ #GBBO	young people bitter older contestants probably know make bakewell tarts ðÿ˜‚ gbbo	0.40274075	0.375
Why did Alex just growl at me.. ðŸ˜‚ðŸ˜‚ðŸ˜‚	alex growl me.. ðÿ˜‚ðÿ˜‚ðÿ˜‚	0.48953316	0.312
@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. 	may suggest meal made beans onions & garlic day class.	0.42534262	0.417
@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge	may suggest meal made beans onions & garlic day class. revenge	0.43816382	0.292
@takumasgirl I fell and heard a snap hffffhj	fell heard snap hffffhj	0.34320876	0.271
@Cardschatter now that the Bills have a new offense of Cordinator do you think it's more difficult for the @AZCardinals to  game plan?	bills new offense cordinator think difficult game plan ?	0.51613647	0.479
Will give #sleepnumber another chance for customer service. Today's growl is 15+ minutes on hold. Overall bed + service = very unimpressive.	give sleepnumber another chance customer service. today growl 15+ minutes hold. overall bed + service = unimpressive.	0.47891915	0.533
I sit at home so damn much that everything is starting to irritate me . I need to get out the house by myself !	sit home damn much everything starting irritate . need get house !	0.6483678	0.509
at least 5 ppl have left my stores in a huff in the past year but ive never had anyone call guest service on me yet so	least 5 ppl left stores huff past year ive never anyone call guest service yet	0.4721333	0.521
@Jake_Martin74 Oh and I play it capo 2nd fret in a G position RS	oh play capo 2nd fret g position rs	0.367693	0.438
I told myself i wouldn't talk about this but i need to bring it up. I'm slightly bitter about the tÃ¸p cover of cancer	told would talk need bring up. slightly bitter tã¸p cover cancer	0.34983274	0.604
Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18	michelle nothing hating nicole game hahaha.... bitter bb18	0.46146473	0.5
Michelle, who did NOTHING is hating on Nicole's game hahaha....  #bb18	michelle nothing hating nicole game hahaha.... bb18	0.3831889	0.396
I asked Jared to marry me and he said no. #offended	asked jared marry said no. offended	0.50697035	0.562
I asked Jared to marry me and he said no. 	asked jared marry said no.	0.354421	0.521
It's #ThirstyThursday which means it's time to #rage. Get ready for tonight with personal #hydration. Book now. 305-912-4937. #itslit #miami	thirstythursday means time rage. get ready tonight personal hydration. book now. 305-912-4937. itslit miami	0.47115305	0.312
@cassidyyy_0 literally Nicole already had her chance and she played shitty both seasons. #bitter	literally nicole already chance played shitty seasons. bitter	0.47064593	0.553
@cassidyyy_0 literally Nicole already had her chance and she played shitty both seasons. 	literally nicole already chance played shitty seasons.	0.38433447	0.5
@johnmerro1 @Liberobility still bitter about last night lads ðŸ˜‚	still bitter last night lads ðÿ˜‚	0.51700526	0.562
@Dominos_UK worst thing is i have confimation from them #angry	worst thing confimation angry	0.6846595	0.771
@Dominos_UK worst thing is i have confimation from them 	worst thing confimation	0.5292921	0.5
@GarthJennings loved #sing #tiff but 1 q there is 1 japanese line but obviously spoken by non japanese. no way to find japanese for 1 line?	loved sing tiff 1 q 1 japanese line obviously spoken non japanese. way find japanese 1 line ?	0.43747574	0.333
@memorie_holiday @AngryOrchard about 2 wks ago,playing pokemon and not paying attention. Placed my elbow on a rail 3 inches from 4 no sting.	2 wks agoplaying pokemon paying attention. placed elbow rail 3 inches 4 sting.	0.37552083	0.5
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin	broadband shocking regretting signing angry shouldofgonewithvirgin	0.74811745	0.646
@bt_uk broadband is shocking regretting signing up now  #shouldofgonewithvirgin	broadband shocking regretting signing shouldofgonewithvirgin	0.56471056	0.479
@Bickley_Marotta yea because forcing 5 turnovers and holding a pretty good offense to 7 points is concerning.....oh wait. NO!!	yea forcing 5 turnovers holding pretty good offense 7 points concerning.....oh wait. ! !	0.31912312	0.375
@itgoeszaysway ok but his identity was revealed and he's black so educate yourself and don't insult people when they state facts lol...	ok identity revealed black educate insult people state facts lol...	0.5769848	0.396
Everton not playing and fume on here have day off	everton playing fume day	0.33730376	0.646
@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned	irate check-in system. tried checkin day would let seat assigned	0.7016691	0.729
@JustinRow10 madden is the reason why controllers are snapped	madden reason controllers snapped	0.46669903	0.458
@TokyoSexPolice can I get away of this wrath by reading manga instead of watching overdone anime	get away wrath reading manga instead watching overdone anime	0.3242075	0.468
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!	like rabid dog pulled backs cupboards looking bakewell..found french fancie & mini batternburg winner !	0.51964176	0.333
@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund  #rage	please canadian players play us players lag atrocious. fixthisgame trash sfvrefund rage	0.6847165	0.604
Marcus Rojo is the worst player i have ever seen. Useless toasting burning bastard	marcus rojo worst player ever seen. useless toasting burning bastard	0.58109224	0.562
@EliTheProphet_ @ChrisMellini this is an automatic L for me but ima keep trying fam  #thewengerway	automatic l ima keep trying fam thewengerway	0.39817053	0.438
@EliTheProphet_ @ChrisMellini this is an automatic L for me but ima keep trying fam #relentless #thewengerway	automatic l ima keep trying fam relentless thewengerway	0.31022596	0.267
@majesticmata didn't even realise you used that insult it was that shit mate	even realise used insult shit mate	0.49743056	0.646
@happyandbashful Flirt, simper, pout, repeat. Yuck.	flirt simper pout repeat. yuck.	0.4589109	0.479
This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,	anger inside turned fuel burned watched spin like inferno types	0.48341992	0.688
@HumbleTeej @CourtneeHendrix even if he says nothing, he'll still piss some people off. He's gotta decide who he wants to make angry.	even says nothing still piss people off. gotta decide wants make angry.	0.5098173	0.438
someone kik me @ montanashay_ \n #kikme 	someone kik @ montanashay_ kikme	0.7189088	0.312
someone kik me @ montanashay_ \n#kikme #snap	someone kik @ montanashay_ kikme snap	0.5364	0.25
.@Travelanswerman: B assured there is plenty of salt 2 keep that #fire #burning brightly! Stay #happy N life by keeping plenty #saltyâ€¦ â€¦	.: b assured plenty salt 2 keep fire burning brightly ! stay happy n life keeping plenty saltyâ€¦ â€¦	0.35062927	0.375
@PediMGHHMS3 sickle cell if right pt background. Or could be JIA or an allergic reaction to a bite e.g. bee sting among others.	sickle cell right pt background. could jia allergic reaction bite e.g. bee sting among others.	0.46886638	0.292
@amymarsden_wtf I'm as pure as the driven snow after it's been pissed on by multiple rabid dogs	pure driven snow pissed multiple rabid dogs	0.6860176	0.667
The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet #revenge.	side effects fighting disrespect.. comes ignoring person show notcare ! ! sweet revenge.	0.45049506	0.604
The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet .	side effects fighting disrespect.. comes ignoring person show notcare ! ! sweet .	0.46216652	0.521
Another L on the board we just cannot match up on paper with these teams at the moment and its showing on the field. Onto Denver 	another l board cannot match paper teams moment showing field. onto denver	0.41399786	0.521
Another L on the board we just cannot match up on paper with these teams at the moment and its showing on the field. Onto Denver #revenge	another l board cannot match paper teams moment showing field. onto denver revenge	0.48256278	0.438
BeyoncÃ© resentment gets me in my feelings every time. ðŸ˜©	beyoncã© resentment gets feelings every time. ðÿ˜©	0.53479844	0.333
Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming ðŸ˜¡	dear please tell bus drivers obstruction side pull oncoming traffic causing vehs swerve fuming ðÿ˜¡	0.5445049	0.75
@jbanks88 offense can't score 3 redzone trips no points n lbs can't pull flags n i missed a flag that lead to a td dat took da league	offense ca score 3 redzone trips points n lbs ca pull flags n missed flag lead td dat took da league	0.39048514	0.458
@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them	trudeau endulging outrage culture again. preaching issues ad hominembut never quanitfying	0.45959917	0.5
Get to the gym and discover I forgot to put my gym shoes back in my bad ðŸ˜¤ #rage #wwhhyyy	get gym discover forgot put gym shoes back bad ðÿ˜¤ rage wwhhyyy	0.56788343	0.729
Get to the gym and discover I forgot to put my gym shoes back in my bad ðŸ˜¤  #wwhhyyy	get gym discover forgot put gym shoes back bad ðÿ˜¤ wwhhyyy	0.48563173	0.562
Omg someone asked them to sit and they reluctantly moved with a huff. Biiitttccchhhhhh ðŸ”ª	omg someone asked sit reluctantly moved huff. biiitttccchhhhhh ðÿ”ª	0.49683243	0.771
how can you hold a grudge for over a year I can barely hold one for a few minutes	hold grudge year barely hold one minutes	0.41786262	0.354
says, who are you to compared me with the others; I'm just human. #lit #fire #burning	says compared others; human. lit fire burning	0.4117488	0.583
says, who are you to compared me with the others; I'm just human. #lit #fire 	says compared others; human. lit fire	0.3832206	0.5
@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2 #angry #fedup	cancelling home fibe internet tv afternoon - soon arrange alternate internet. 2/2 angry fedup	0.58449364	0.484
@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2  #fedup	cancelling home fibe internet tv afternoon - soon arrange alternate internet. 2/2 fedup	0.4938945	0.667
@katrinadougan_ ive went roght in the huff. Deleted the episode out of anger n everything (regret it now)	ive went roght huff. deleted episode anger n everything regret	0.588989	0.717
